id,itemTime,language,trial,antonymPair,scenarioLabel,expressionLabel,expression,answer,RT,engagement,difficulty,comments
A1WDUICI1FG9F:3LJ7UR74RILQNUIEU717QKJ0R5O4NR,1458913776398,English,13,long,movie,neither P nor Q,neither long nor short,6,1979,3,8,This one was hard to think about
A1WDUICI1FG9F:3LJ7UR74RILQNUIEU717QKJ0R5O4NR,1458913779078,English,14,long,movie,not-P ,not long,6,2677,3,8,This one was hard to think about
A1WDUICI1FG9F:3LJ7UR74RILQNUIEU717QKJ0R5O4NR,1458913787807,English,15,tall,gymnast,not-P ,not tall,7,8726,3,8,This one was hard to think about
A1WDUICI1FG9F:3LJ7UR74RILQNUIEU717QKJ0R5O4NR,1458913789390,English,16,tall,gymnast,neither P nor Q,neither tall nor short,7,1579,3,8,This one was hard to think about
A1WDUICI1FG9F:3LJ7UR74RILQNUIEU717QKJ0R5O4NR,1458913790958,English,17,tall,gymnast,not-Q,not short,7,1565,3,8,This one was hard to think about
A1WDUICI1FG9F:3LJ7UR74RILQNUIEU717QKJ0R5O4NR,1458913793158,English,18,tall,gymnast,P,tall,11,2194,3,8,This one was hard to think about
A1WDUICI1FG9F:3LJ7UR74RILQNUIEU717QKJ0R5O4NR,1458913796134,English,19,tall,gymnast,Q,short,4,2973,3,8,This one was hard to think about
A1WDUICI1FG9F:3LJ7UR74RILQNUIEU717QKJ0R5O4NR,1458913798232,English,20,tall,gymnast,neither P nor not-Q,neither tall nor not tall,7,2092,3,8,This one was hard to think about
A1WDUICI1FG9F:3LJ7UR74RILQNUIEU717QKJ0R5O4NR,1458913799575,English,21,tall,gymnast,neither Q nor not-P,neither short nor not short,7,1339,3,8,This one was hard to think about
A1WDUICI1FG9F:3LJ7UR74RILQNUIEU717QKJ0R5O4NR,1458913824015,English,22,long,song,not-Q,not short,5,24436,3,8,This one was hard to think about
A1WDUICI1FG9F:3LJ7UR74RILQNUIEU717QKJ0R5O4NR,1458913825494,English,23,long,song,neither Q nor not-P,neither short nor not short,5,1476,3,8,This one was hard to think about
A1WDUICI1FG9F:3LJ7UR74RILQNUIEU717QKJ0R5O4NR,1458913827526,English,24,long,song,not-P ,not long,5,2029,3,8,This one was hard to think about
A1WDUICI1FG9F:3LJ7UR74RILQNUIEU717QKJ0R5O4NR,1458913830662,English,25,long,song,Q,short,2,3132,3,8,This one was hard to think about
A1WDUICI1FG9F:3LJ7UR74RILQNUIEU717QKJ0R5O4NR,1458913832455,English,26,long,song,neither P nor Q,neither long nor short,5,1789,3,8,This one was hard to think about
A1WDUICI1FG9F:3LJ7UR74RILQNUIEU717QKJ0R5O4NR,1458913834041,English,27,long,song,neither P nor not-Q,neither long nor not long,5,1581,3,8,This one was hard to think about
A1WDUICI1FG9F:3LJ7UR74RILQNUIEU717QKJ0R5O4NR,1458913836206,English,28,long,song,P,long,8,2162,3,8,This one was hard to think about
A3JIWNQV86CNOB:3EICBYG6454XZ8488OFXGBE7AYZJCE,1458914117406,English,1,tall,NBA,neither P nor Q,neither tall nor short,6,9311,7,3,
A3JIWNQV86CNOB:3EICBYG6454XZ8488OFXGBE7AYZJCE,1458914127229,English,2,tall,NBA,not-Q,not short,7,9821,7,3,
A3JIWNQV86CNOB:3EICBYG6454XZ8488OFXGBE7AYZJCE,1458914135558,English,3,tall,NBA,Q,short,3,8326,7,3,
A3JIWNQV86CNOB:3EICBYG6454XZ8488OFXGBE7AYZJCE,1458914142481,English,4,tall,NBA,neither P nor not-Q,neither tall nor not tall,5,6918,7,3,
A3JIWNQV86CNOB:3EICBYG6454XZ8488OFXGBE7AYZJCE,1458914146209,English,5,tall,NBA,P,tall,10,3724,7,3,
A3JIWNQV86CNOB:3EICBYG6454XZ8488OFXGBE7AYZJCE,1458914152341,English,6,tall,NBA,not-P ,not tall,5,6128,7,3,
A3JIWNQV86CNOB:3EICBYG6454XZ8488OFXGBE7AYZJCE,1458914155705,English,7,tall,NBA,neither Q nor not-P,neither short nor not short,6,3358,7,3,
A3JIWNQV86CNOB:3EICBYG6454XZ8488OFXGBE7AYZJCE,1458914166132,English,8,tall,gymnast,neither Q nor not-P,neither short nor not short,7,10424,7,3,
A3JIWNQV86CNOB:3EICBYG6454XZ8488OFXGBE7AYZJCE,1458914170754,English,9,tall,gymnast,not-Q,not short,9,4617,7,3,
A3JIWNQV86CNOB:3EICBYG6454XZ8488OFXGBE7AYZJCE,1458914180805,English,10,tall,gymnast,neither P nor not-Q,neither tall nor not tall,8,10049,7,3,
A3JIWNQV86CNOB:3EICBYG6454XZ8488OFXGBE7AYZJCE,1458914186407,English,11,tall,gymnast,Q,short,4,5597,7,3,
A3JIWNQV86CNOB:3EICBYG6454XZ8488OFXGBE7AYZJCE,1458914191860,English,12,tall,gymnast,not-P ,not tall,9,5451,7,3,
A3JIWNQV86CNOB:3EICBYG6454XZ8488OFXGBE7AYZJCE,1458914197651,English,13,tall,gymnast,neither P nor Q,neither tall nor short,8,5785,7,3,
A3JIWNQV86CNOB:3EICBYG6454XZ8488OFXGBE7AYZJCE,1458914201283,English,14,tall,gymnast,P,tall,12,3630,7,3,
A3JIWNQV86CNOB:3EICBYG6454XZ8488OFXGBE7AYZJCE,1458914209729,English,15,long,song,Q,short,3,8439,7,3,
A3JIWNQV86CNOB:3EICBYG6454XZ8488OFXGBE7AYZJCE,1458914216558,English,16,long,song,neither P nor not-Q,neither long nor not long,6,6825,7,3,
A3JIWNQV86CNOB:3EICBYG6454XZ8488OFXGBE7AYZJCE,1458914220164,English,17,long,song,neither P nor Q,neither long nor short,5,3600,7,3,
A3JIWNQV86CNOB:3EICBYG6454XZ8488OFXGBE7AYZJCE,1458914225828,English,18,long,song,neither Q nor not-P,neither short nor not short,7,5658,7,3,
A3JIWNQV86CNOB:3EICBYG6454XZ8488OFXGBE7AYZJCE,1458914229911,English,19,long,song,not-P ,not long,6,4080,7,3,
A3JIWNQV86CNOB:3EICBYG6454XZ8488OFXGBE7AYZJCE,1458914248312,English,20,long,song,not-Q,not short,9,18396,7,3,
A3JIWNQV86CNOB:3EICBYG6454XZ8488OFXGBE7AYZJCE,1458914253791,English,21,long,song,P,long,11,5475,7,3,
A3JIWNQV86CNOB:3EICBYG6454XZ8488OFXGBE7AYZJCE,1458914259441,English,22,long,movie,not-Q,not short,9,5645,7,3,
A3JIWNQV86CNOB:3EICBYG6454XZ8488OFXGBE7AYZJCE,1458914263463,English,23,long,movie,neither Q nor not-P,neither short nor not short,6,4018,7,3,
A3JIWNQV86CNOB:3EICBYG6454XZ8488OFXGBE7AYZJCE,1458914267826,English,24,long,movie,neither P nor Q,neither long nor short,7,4359,7,3,
A3JIWNQV86CNOB:3EICBYG6454XZ8488OFXGBE7AYZJCE,1458914279745,English,25,long,movie,not-P ,not long,4,11913,7,3,
A3JIWNQV86CNOB:3EICBYG6454XZ8488OFXGBE7AYZJCE,1458914282547,English,26,long,movie,neither P nor not-Q,neither long nor not long,6,2800,7,3,
A3JIWNQV86CNOB:3EICBYG6454XZ8488OFXGBE7AYZJCE,1458914286015,English,27,long,movie,Q,short,3,3465,7,3,
A3JIWNQV86CNOB:3EICBYG6454XZ8488OFXGBE7AYZJCE,1458914292010,English,28,long,movie,P,long,11,5993,7,3,
AW2TBYJM32KBE:3VSOLARPKCHKGWVGTJDJYEWA8GA93B,1458915835733,english,1,long,song,not-Q,not short,4,6480,7,2,none at this time
AW2TBYJM32KBE:3VSOLARPKCHKGWVGTJDJYEWA8GA93B,1458915844596,english,2,long,song,neither P nor Q,neither long nor short,6,8862,7,2,none at this time
AW2TBYJM32KBE:3VSOLARPKCHKGWVGTJDJYEWA8GA93B,1458915848356,english,3,long,song,Q,short,3,3758,7,2,none at this time
AW2TBYJM32KBE:3VSOLARPKCHKGWVGTJDJYEWA8GA93B,1458915851771,english,4,long,song,P,long,9,3413,7,2,none at this time
AW2TBYJM32KBE:3VSOLARPKCHKGWVGTJDJYEWA8GA93B,1458915855419,english,5,long,song,neither P nor not-Q,neither long nor not long,6,3646,7,2,none at this time
AW2TBYJM32KBE:3VSOLARPKCHKGWVGTJDJYEWA8GA93B,1458915867805,english,6,long,song,neither Q nor not-P,neither short nor not short,7,12383,7,2,none at this time
AW2TBYJM32KBE:3VSOLARPKCHKGWVGTJDJYEWA8GA93B,1458915873196,english,7,long,song,not-P ,not long,5,5389,7,2,none at this time
AW2TBYJM32KBE:3VSOLARPKCHKGWVGTJDJYEWA8GA93B,1458915884187,english,8,tall,NBA,neither Q nor not-P,neither short nor not short,2,10989,7,2,none at this time
AW2TBYJM32KBE:3VSOLARPKCHKGWVGTJDJYEWA8GA93B,1458915890724,english,9,tall,NBA,neither P nor not-Q,neither tall nor not tall,2,6533,7,2,none at this time
AW2TBYJM32KBE:3VSOLARPKCHKGWVGTJDJYEWA8GA93B,1458915895579,english,10,tall,NBA,P,tall,9,4854,7,2,none at this time
AW2TBYJM32KBE:3VSOLARPKCHKGWVGTJDJYEWA8GA93B,1458915899795,english,11,tall,NBA,not-Q,not short,8,4215,7,2,none at this time
AW2TBYJM32KBE:3VSOLARPKCHKGWVGTJDJYEWA8GA93B,1458915905506,english,12,tall,NBA,not-P ,not tall,1,5709,7,2,none at this time
AW2TBYJM32KBE:3VSOLARPKCHKGWVGTJDJYEWA8GA93B,1458915911690,english,13,tall,NBA,Q,short,0,6182,7,2,none at this time
AW2TBYJM32KBE:3VSOLARPKCHKGWVGTJDJYEWA8GA93B,1458915919418,english,14,tall,NBA,neither P nor Q,neither tall nor short,3,7727,7,2,none at this time
AW2TBYJM32KBE:3VSOLARPKCHKGWVGTJDJYEWA8GA93B,1458915924506,english,15,long,movie,not-P ,not long,2,5087,7,2,none at this time
AW2TBYJM32KBE:3VSOLARPKCHKGWVGTJDJYEWA8GA93B,1458915929802,english,16,long,movie,neither Q nor not-P,neither short nor not short,3,5295,7,2,none at this time
AW2TBYJM32KBE:3VSOLARPKCHKGWVGTJDJYEWA8GA93B,1458915934826,english,17,long,movie,Q,short,2,5022,7,2,none at this time
AW2TBYJM32KBE:3VSOLARPKCHKGWVGTJDJYEWA8GA93B,1458915938754,english,18,long,movie,not-Q,not short,7,3924,7,2,none at this time
AW2TBYJM32KBE:3VSOLARPKCHKGWVGTJDJYEWA8GA93B,1458915943817,english,19,long,movie,neither P nor Q,neither long nor short,3,5062,7,2,none at this time
AW2TBYJM32KBE:3VSOLARPKCHKGWVGTJDJYEWA8GA93B,1458915947977,english,20,long,movie,P,long,10,4157,7,2,none at this time
AW2TBYJM32KBE:3VSOLARPKCHKGWVGTJDJYEWA8GA93B,1458915953737,english,21,long,movie,neither P nor not-Q,neither long nor not long,4,5759,7,2,none at this time
AW2TBYJM32KBE:3VSOLARPKCHKGWVGTJDJYEWA8GA93B,1458915960889,english,22,tall,gymnast,not-P ,not tall,4,7151,7,2,none at this time
AW2TBYJM32KBE:3VSOLARPKCHKGWVGTJDJYEWA8GA93B,1458915965392,english,23,tall,gymnast,not-Q,not short,7,4502,7,2,none at this time
AW2TBYJM32KBE:3VSOLARPKCHKGWVGTJDJYEWA8GA93B,1458915969920,english,24,tall,gymnast,neither P nor not-Q,neither tall nor not tall,7,4526,7,2,none at this time
AW2TBYJM32KBE:3VSOLARPKCHKGWVGTJDJYEWA8GA93B,1458915973408,english,25,tall,gymnast,P,tall,12,3485,7,2,none at this time
AW2TBYJM32KBE:3VSOLARPKCHKGWVGTJDJYEWA8GA93B,1458915980352,english,26,tall,gymnast,neither P nor Q,neither tall nor short,7,6943,7,2,none at this time
AW2TBYJM32KBE:3VSOLARPKCHKGWVGTJDJYEWA8GA93B,1458915985728,english,27,tall,gymnast,Q,short,5,5375,7,2,none at this time
AW2TBYJM32KBE:3VSOLARPKCHKGWVGTJDJYEWA8GA93B,1458915989391,english,28,tall,gymnast,neither Q nor not-P,neither short nor not short,7,3661,7,2,none at this time
A1TLNLB9D87H6:36W0OB37HXMEGVKSC2WKFWZD6OHHZ6,1458912791187,English,1,long,song,neither Q nor not-P,neither short nor not short,6,15592,7,8,Thank you.
A1TLNLB9D87H6:36W0OB37HXMEGVKSC2WKFWZD6OHHZ6,1458912797850,English,2,long,song,not-Q,not short,8,6658,7,8,Thank you.
A1TLNLB9D87H6:36W0OB37HXMEGVKSC2WKFWZD6OHHZ6,1458912801115,English,3,long,song,neither P nor Q,neither long nor short,7,3259,7,8,Thank you.
A1TLNLB9D87H6:36W0OB37HXMEGVKSC2WKFWZD6OHHZ6,1458912804764,English,4,long,song,P,long,10,3645,7,8,Thank you.
A1TLNLB9D87H6:36W0OB37HXMEGVKSC2WKFWZD6OHHZ6,1458912810750,English,5,long,song,neither P nor not-Q,neither long nor not long,8,5980,7,8,Thank you.
A1TLNLB9D87H6:36W0OB37HXMEGVKSC2WKFWZD6OHHZ6,1458912815588,English,6,long,song,Q,short,4,4834,7,8,Thank you.
A1TLNLB9D87H6:36W0OB37HXMEGVKSC2WKFWZD6OHHZ6,1458912819391,English,7,long,song,not-P ,not long,6,3796,7,8,Thank you.
A1TLNLB9D87H6:36W0OB37HXMEGVKSC2WKFWZD6OHHZ6,1458912827263,English,8,long,movie,not-Q,not short,11,7866,7,8,Thank you.
A1TLNLB9D87H6:36W0OB37HXMEGVKSC2WKFWZD6OHHZ6,1458912832906,English,9,long,movie,Q,short,3,5635,7,8,Thank you.
A1TLNLB9D87H6:36W0OB37HXMEGVKSC2WKFWZD6OHHZ6,1458912840364,English,10,long,movie,neither Q nor not-P,neither short nor not short,6,7450,7,8,Thank you.
A1TLNLB9D87H6:36W0OB37HXMEGVKSC2WKFWZD6OHHZ6,1458912844461,English,11,long,movie,neither P nor Q,neither long nor short,8,4092,7,8,Thank you.
A1TLNLB9D87H6:36W0OB37HXMEGVKSC2WKFWZD6OHHZ6,1458912850988,English,12,long,movie,neither P nor not-Q,neither long nor not long,7,6520,7,8,Thank you.
A1TLNLB9D87H6:36W0OB37HXMEGVKSC2WKFWZD6OHHZ6,1458912856490,English,13,long,movie,not-P ,not long,4,5498,7,8,Thank you.
A1TLNLB9D87H6:36W0OB37HXMEGVKSC2WKFWZD6OHHZ6,1458912860215,English,14,long,movie,P,long,12,3719,7,8,Thank you.
A1TLNLB9D87H6:36W0OB37HXMEGVKSC2WKFWZD6OHHZ6,1458912869783,English,15,tall,gymnast,Q,short,1,9562,7,8,Thank you.
A1TLNLB9D87H6:36W0OB37HXMEGVKSC2WKFWZD6OHHZ6,1458912874916,English,16,tall,gymnast,not-Q,not short,11,5125,7,8,Thank you.
A1TLNLB9D87H6:36W0OB37HXMEGVKSC2WKFWZD6OHHZ6,1458912880659,English,17,tall,gymnast,neither P nor not-Q,neither tall nor not tall,8,5738,7,8,Thank you.
A1TLNLB9D87H6:36W0OB37HXMEGVKSC2WKFWZD6OHHZ6,1458912887744,English,18,tall,gymnast,not-P ,not tall,6,7080,7,8,Thank you.
A1TLNLB9D87H6:36W0OB37HXMEGVKSC2WKFWZD6OHHZ6,1458912892772,English,19,tall,gymnast,neither Q nor not-P,neither short nor not short,7,5025,7,8,Thank you.
A1TLNLB9D87H6:36W0OB37HXMEGVKSC2WKFWZD6OHHZ6,1458912897424,English,20,tall,gymnast,neither P nor Q,neither tall nor short,8,4648,7,8,Thank you.
A1TLNLB9D87H6:36W0OB37HXMEGVKSC2WKFWZD6OHHZ6,1458912900768,English,21,tall,gymnast,P,tall,11,3339,7,8,Thank you.
A1TLNLB9D87H6:36W0OB37HXMEGVKSC2WKFWZD6OHHZ6,1458912919936,English,22,tall,NBA,neither Q nor not-P,neither short nor not short,4,19163,7,8,Thank you.
A1TLNLB9D87H6:36W0OB37HXMEGVKSC2WKFWZD6OHHZ6,1458912924239,English,23,tall,NBA,not-P ,not tall,0,4298,7,8,Thank you.
A1TLNLB9D87H6:36W0OB37HXMEGVKSC2WKFWZD6OHHZ6,1458912930888,English,24,tall,NBA,neither P nor not-Q,neither tall nor not tall,2,6645,7,8,Thank you.
A1TLNLB9D87H6:36W0OB37HXMEGVKSC2WKFWZD6OHHZ6,1458912934309,English,25,tall,NBA,Q,short,0,3417,7,8,Thank you.
A1TLNLB9D87H6:36W0OB37HXMEGVKSC2WKFWZD6OHHZ6,1458912938596,English,26,tall,NBA,not-Q,not short,8,4282,7,8,Thank you.
A1TLNLB9D87H6:36W0OB37HXMEGVKSC2WKFWZD6OHHZ6,1458912943024,English,27,tall,NBA,P,tall,8,4424,7,8,Thank you.
A1TLNLB9D87H6:36W0OB37HXMEGVKSC2WKFWZD6OHHZ6,1458912950077,English,28,tall,NBA,neither P nor Q,neither tall nor short,4,7049,7,8,Thank you.
AZIY6IFOS4CVC:3ZDAD0O1T2LFG9B8BEPOWUMQ9IDXTY,1458913591547,English,1,tall,NBA,neither Q nor not-P,neither short nor not short,4,16516,5,2,
AZIY6IFOS4CVC:3ZDAD0O1T2LFG9B8BEPOWUMQ9IDXTY,1458913599217,English,2,tall,NBA,neither P nor Q,neither tall nor short,3,7667,5,2,
AZIY6IFOS4CVC:3ZDAD0O1T2LFG9B8BEPOWUMQ9IDXTY,1458913610303,English,3,tall,NBA,neither P nor not-Q,neither tall nor not tall,2,11082,5,2,
AZIY6IFOS4CVC:3ZDAD0O1T2LFG9B8BEPOWUMQ9IDXTY,1458913619585,English,4,tall,NBA,not-Q,not short,13,9280,5,2,
AZIY6IFOS4CVC:3ZDAD0O1T2LFG9B8BEPOWUMQ9IDXTY,1458913626350,English,5,tall,NBA,Q,short,2,6762,5,2,
AZIY6IFOS4CVC:3ZDAD0O1T2LFG9B8BEPOWUMQ9IDXTY,1458913630975,English,6,tall,NBA,P,tall,10,4622,5,2,
AZIY6IFOS4CVC:3ZDAD0O1T2LFG9B8BEPOWUMQ9IDXTY,1458913636771,English,7,tall,NBA,not-P ,not tall,1,5791,5,2,
AZIY6IFOS4CVC:3ZDAD0O1T2LFG9B8BEPOWUMQ9IDXTY,1458913649044,English,8,tall,gymnast,P,tall,12,12269,5,2,
AZIY6IFOS4CVC:3ZDAD0O1T2LFG9B8BEPOWUMQ9IDXTY,1458913656420,English,9,tall,gymnast,not-Q,not short,11,7372,5,2,
AZIY6IFOS4CVC:3ZDAD0O1T2LFG9B8BEPOWUMQ9IDXTY,1458913660595,English,10,tall,gymnast,Q,short,3,4172,5,2,
AZIY6IFOS4CVC:3ZDAD0O1T2LFG9B8BEPOWUMQ9IDXTY,1458913669556,English,11,tall,gymnast,neither Q nor not-P,neither short nor not short,9,8958,5,2,
AZIY6IFOS4CVC:3ZDAD0O1T2LFG9B8BEPOWUMQ9IDXTY,1458913679425,English,12,tall,gymnast,neither P nor Q,neither tall nor short,8,9865,5,2,
AZIY6IFOS4CVC:3ZDAD0O1T2LFG9B8BEPOWUMQ9IDXTY,1458913690919,English,13,tall,gymnast,neither P nor not-Q,neither tall nor not tall,3,11492,5,2,
AZIY6IFOS4CVC:3ZDAD0O1T2LFG9B8BEPOWUMQ9IDXTY,1458913699426,English,14,tall,gymnast,not-P ,not tall,4,8503,5,2,
AZIY6IFOS4CVC:3ZDAD0O1T2LFG9B8BEPOWUMQ9IDXTY,1458913705998,English,15,long,movie,P,long,14,6569,5,2,
AZIY6IFOS4CVC:3ZDAD0O1T2LFG9B8BEPOWUMQ9IDXTY,1458913716459,English,16,long,movie,Q,short,4,10458,5,2,
AZIY6IFOS4CVC:3ZDAD0O1T2LFG9B8BEPOWUMQ9IDXTY,1458913723496,English,17,long,movie,neither P nor Q,neither long nor short,9,7034,5,2,
AZIY6IFOS4CVC:3ZDAD0O1T2LFG9B8BEPOWUMQ9IDXTY,1458913737660,English,18,long,movie,neither Q nor not-P,neither short nor not short,8,14159,5,2,
AZIY6IFOS4CVC:3ZDAD0O1T2LFG9B8BEPOWUMQ9IDXTY,1458913741581,English,19,long,movie,not-Q,not short,11,3918,5,2,
AZIY6IFOS4CVC:3ZDAD0O1T2LFG9B8BEPOWUMQ9IDXTY,1458913755247,English,20,long,movie,neither P nor not-Q,neither long nor not long,9,13663,5,2,
AZIY6IFOS4CVC:3ZDAD0O1T2LFG9B8BEPOWUMQ9IDXTY,1458913759935,English,21,long,movie,not-P ,not long,7,4686,5,2,
AZIY6IFOS4CVC:3ZDAD0O1T2LFG9B8BEPOWUMQ9IDXTY,1458913768379,English,22,long,song,not-P ,not long,5,8441,5,2,
AZIY6IFOS4CVC:3ZDAD0O1T2LFG9B8BEPOWUMQ9IDXTY,1458913772277,English,23,long,song,not-Q,not short,10,3894,5,2,
AZIY6IFOS4CVC:3ZDAD0O1T2LFG9B8BEPOWUMQ9IDXTY,1458913784794,English,24,long,song,neither Q nor not-P,neither short nor not short,6,12513,5,2,
AZIY6IFOS4CVC:3ZDAD0O1T2LFG9B8BEPOWUMQ9IDXTY,1458913791928,English,25,long,song,neither P nor not-Q,neither long nor not long,7,7130,5,2,
AZIY6IFOS4CVC:3ZDAD0O1T2LFG9B8BEPOWUMQ9IDXTY,1458913801107,English,26,long,song,P,long,10,9176,5,2,
AZIY6IFOS4CVC:3ZDAD0O1T2LFG9B8BEPOWUMQ9IDXTY,1458913804497,English,27,long,song,Q,short,3,3386,5,2,
AZIY6IFOS4CVC:3ZDAD0O1T2LFG9B8BEPOWUMQ9IDXTY,1458913809314,English,28,long,song,neither P nor Q,neither long nor short,5,4814,5,2,
A2OQZTSU48GRFG:3DUZQ9U6SNWMXKTYMZJGY4TJROSSV2,1458915320222,English,1,long,movie,Q,short,8,9736,8,1,
A2OQZTSU48GRFG:3DUZQ9U6SNWMXKTYMZJGY4TJROSSV2,1458915325005,English,2,long,movie,P,long,10,4779,8,1,
A2OQZTSU48GRFG:3DUZQ9U6SNWMXKTYMZJGY4TJROSSV2,1458915328517,English,3,long,movie,not-P ,not long,7,3510,8,1,
A2OQZTSU48GRFG:3DUZQ9U6SNWMXKTYMZJGY4TJROSSV2,1458915331070,English,4,long,movie,neither P nor Q,neither long nor short,6,2551,8,1,
A2OQZTSU48GRFG:3DUZQ9U6SNWMXKTYMZJGY4TJROSSV2,1458915334382,English,5,long,movie,neither Q nor not-P,neither short nor not short,6,3310,8,1,
A2OQZTSU48GRFG:3DUZQ9U6SNWMXKTYMZJGY4TJROSSV2,1458915344655,English,6,long,movie,not-Q,not short,8,10269,8,1,
A2OQZTSU48GRFG:3DUZQ9U6SNWMXKTYMZJGY4TJROSSV2,1458915347856,English,7,long,movie,neither P nor not-Q,neither long nor not long,7,3197,8,1,
A2OQZTSU48GRFG:3DUZQ9U6SNWMXKTYMZJGY4TJROSSV2,1458915354105,English,8,tall,NBA,not-P ,not tall,4,6244,8,1,
A2OQZTSU48GRFG:3DUZQ9U6SNWMXKTYMZJGY4TJROSSV2,1458915359914,English,9,tall,NBA,neither Q nor not-P,neither short nor not short,7,5806,8,1,
A2OQZTSU48GRFG:3DUZQ9U6SNWMXKTYMZJGY4TJROSSV2,1458915365810,English,10,tall,NBA,neither P nor Q,neither tall nor short,7,5893,8,1,
A2OQZTSU48GRFG:3DUZQ9U6SNWMXKTYMZJGY4TJROSSV2,1458915370763,English,11,tall,NBA,P,tall,14,4951,8,1,
A2OQZTSU48GRFG:3DUZQ9U6SNWMXKTYMZJGY4TJROSSV2,1458915374323,English,12,tall,NBA,not-Q,not short,8,3558,8,1,
A2OQZTSU48GRFG:3DUZQ9U6SNWMXKTYMZJGY4TJROSSV2,1458915377517,English,13,tall,NBA,Q,short,3,3191,8,1,
A2OQZTSU48GRFG:3DUZQ9U6SNWMXKTYMZJGY4TJROSSV2,1458915384701,English,14,tall,NBA,neither P nor not-Q,neither tall nor not tall,7,7181,8,1,
A2OQZTSU48GRFG:3DUZQ9U6SNWMXKTYMZJGY4TJROSSV2,1458915389141,English,15,long,song,P,long,7,4438,8,1,
A2OQZTSU48GRFG:3DUZQ9U6SNWMXKTYMZJGY4TJROSSV2,1458915396415,English,16,long,song,not-P ,not long,6,7271,8,1,
A2OQZTSU48GRFG:3DUZQ9U6SNWMXKTYMZJGY4TJROSSV2,1458915399447,English,17,long,song,neither Q nor not-P,neither short nor not short,6,3029,8,1,
A2OQZTSU48GRFG:3DUZQ9U6SNWMXKTYMZJGY4TJROSSV2,1458915402934,English,18,long,song,not-Q,not short,6,3485,8,1,
A2OQZTSU48GRFG:3DUZQ9U6SNWMXKTYMZJGY4TJROSSV2,1458915406619,English,19,long,song,neither P nor Q,neither long nor short,6,3681,8,1,
A2OQZTSU48GRFG:3DUZQ9U6SNWMXKTYMZJGY4TJROSSV2,1458915411880,English,20,long,song,Q,short,5,5256,8,1,
A2OQZTSU48GRFG:3DUZQ9U6SNWMXKTYMZJGY4TJROSSV2,1458915420921,English,21,long,song,neither P nor not-Q,neither long nor not long,6,9038,8,1,
A2OQZTSU48GRFG:3DUZQ9U6SNWMXKTYMZJGY4TJROSSV2,1458915427210,English,22,tall,gymnast,Q,short,2,6287,8,1,
A2OQZTSU48GRFG:3DUZQ9U6SNWMXKTYMZJGY4TJROSSV2,1458915430826,English,23,tall,gymnast,not-Q,not short,4,3614,8,1,
A2OQZTSU48GRFG:3DUZQ9U6SNWMXKTYMZJGY4TJROSSV2,1458915436403,English,24,tall,gymnast,not-P ,not tall,5,5575,8,1,
A2OQZTSU48GRFG:3DUZQ9U6SNWMXKTYMZJGY4TJROSSV2,1458915440004,English,25,tall,gymnast,neither P nor Q,neither tall nor short,5,3598,8,1,
A2OQZTSU48GRFG:3DUZQ9U6SNWMXKTYMZJGY4TJROSSV2,1458915444140,English,26,tall,gymnast,P,tall,11,4134,8,1,
