id,itemTime,language,trial,antonymPair,scenarioLabel,expressionLabel,expression,predicateType,minValue,maxValue,startingValue,answer,naturalness,RT,engagement,difficulty,comments
debug8L7QRP:debugUOY136,1459343847309,wvveqqe,1,hot,bath,neither P nor not-P,neither hot nor not hot,stage,32,212,92,115,4,238974,4,5,
debug8L7QRP:debugUOY136,1459343860662,wvveqqe,2,expensive,laptop,P,expensive,individual,50,4000,376,3726,4,13352,4,5,
debug8L7QRP:debugUOY136,1459343892995,wvveqqe,3,fast,car,neither P nor Q,neither fast nor slow,stage,0,120,56,39,3,32332,4,5,
debug8L7QRP:debugUOY136,1459343902828,wvveqqe,4,long,movie,not-P ,not long,individual,50,240,217,103,6,9832,4,5,
debug8L7QRP:debugUOY136,1459343913460,wvveqqe,5,tall,US male,not-Q,not short,individual,48,96,90,71,6,10631,4,5,
debug8L7QRP:debugUOY136,1459343924372,wvveqqe,6,full,band,Q and not-Q,empty and not empty,stage,0,1200,325,164,2,10911,4,5,
debug8L7QRP:debugUOY136,1459343971860,wvveqqe,1,full,band,not-Q,not empty,stage,0,1200,575,959,3,7712,4,5,
debug8L7QRP:debugUOY136,1459343980376,wvveqqe,2,expensive,laptop,not-P ,not expensive,individual,50,4000,2028,536,3,8515,4,5,
debug8L7QRP:debugUOY136,1459343985136,wvveqqe,3,tall,US male,neither Q nor not-Q,neither short nor not short,individual,48,96,61,66,4,4758,4,5,
debug8L7QRP:debugUOY136,1459343989827,wvveqqe,4,fast,car,P,fast,stage,0,120,104,52,4,4691,4,5,
debug8L7QRP:debugUOY136,1459343993652,wvveqqe,5,long,movie,Q,short,individual,50,240,98,135,4,3824,4,5,
debug8L7QRP:debugUOY136,1459343997927,wvveqqe,6,hot,bath,neither P nor not-P,neither hot nor not hot,stage,32,212,181,103,3,4274,4,5,
debug0TRJX5:debugYMGZSC,1459346643509,asdf,1,full,band,not-P ,not full,stage,0,1200,855,269,2,2197,5,5,asdf
debug0TRJX5:debugYMGZSC,1459346645623,asdf,2,expensive,laptop,not-Q,not cheap,individual,50,4000,832,2383,4,2113,5,5,asdf
debug0TRJX5:debugYMGZSC,1459346647783,asdf,3,long,movie,Q,short,individual,50,240,60,90,3,2160,5,5,asdf
debug0TRJX5:debugYMGZSC,1459346649684,asdf,4,fast,car,neither P nor Q,neither fast nor slow,stage,0,120,1,70,5,1901,5,5,asdf
debug0TRJX5:debugYMGZSC,1459346651777,asdf,5,tall,US male,P and not-P,tall and not tall,individual,48,96,77,58,3,2091,5,5,asdf
debug0TRJX5:debugYMGZSC,1459346654027,asdf,6,hot,bath,P,hot,stage,32,212,74,132,5,2250,5,5,asdf
