id,itemTime,language,trial,antonymPair,scenarioLabel,expressionLabel,expression,predicateType,minValue,maxValue,startingValue,answer,naturalness,RT,engagement,difficulty,comments
A1CHC8M7CWC254:38SKSKU7R25U71E83JNW7TPURXVLI1,1459349278480,bulgarian,3,hot,bath,not-Q,not cold,stage,32,212,130,90,6,16199,9,3,"It is probably relevant that: a) I am fluent in English despite it not being my native language, and b) I did notice that the slider was in a different place each time"
A1CHC8M7CWC254:38SKSKU7R25U71E83JNW7TPURXVLI1,1459349289226,bulgarian,4,tall,US male,neither P nor Q,neither tall nor short,individual,48,96,86,69,3,10743,9,3,"It is probably relevant that: a) I am fluent in English despite it not being my native language, and b) I did notice that the slider was in a different place each time"
A1CHC8M7CWC254:38SKSKU7R25U71E83JNW7TPURXVLI1,1459349301899,bulgarian,5,expensive,laptop,Q,cheap,individual,50,4000,2193,448,7,12672,9,3,"It is probably relevant that: a) I am fluent in English despite it not being my native language, and b) I did notice that the slider was in a different place each time"
A1CHC8M7CWC254:38SKSKU7R25U71E83JNW7TPURXVLI1,1459349311141,bulgarian,6,full,band,not-P ,not full,stage,0,1200,488,385,7,9239,9,3,"It is probably relevant that: a) I am fluent in English despite it not being my native language, and b) I did notice that the slider was in a different place each time"
AHVTY95VEGGQ8:3OCHAWUVGPSGDQLLH5BWV3ZUQC4XKO,1459371544625,English,1,expensive,laptop,not-P ,not expensive,individual,50,4000,2103,400,6,57737,7,0,
AHVTY95VEGGQ8:3OCHAWUVGPSGDQLLH5BWV3ZUQC4XKO,1459371599856,English,2,hot,bath,neither Q nor not-Q,neither cold nor not cold,stage,32,212,118,82,1,55227,7,0,
AHVTY95VEGGQ8:3OCHAWUVGPSGDQLLH5BWV3ZUQC4XKO,1459371648950,English,3,tall,US male,neither P nor Q,neither tall nor short,individual,48,96,74,68,3,49094,7,0,
AHVTY95VEGGQ8:3OCHAWUVGPSGDQLLH5BWV3ZUQC4XKO,1459371692772,English,4,long,movie,Q and not-Q,short and not short,individual,50,240,91,85,1,43822,7,0,
AHVTY95VEGGQ8:3OCHAWUVGPSGDQLLH5BWV3ZUQC4XKO,1459371717457,English,5,full,band,P and not-P,full and not full,stage,0,1200,760,1111,1,24685,7,0,
AHVTY95VEGGQ8:3OCHAWUVGPSGDQLLH5BWV3ZUQC4XKO,1459371741461,English,6,fast,car,Q,slow,stage,0,120,107,20,6,24002,7,0,
A28PZF7KB8FL7Z:379J5II41POIRWCM70X5MER2Z60EL1,1459376318105,English,1,expensive,laptop,neither Q nor not-Q,neither cheap nor not cheap,individual,50,4000,2533,1076,3,25557,10,0,
A28PZF7KB8FL7Z:379J5II41POIRWCM70X5MER2Z60EL1,1459376346401,English,2,fast,car,not-P ,not fast,stage,0,120,0,30,7,28292,10,0,
A28PZF7KB8FL7Z:379J5II41POIRWCM70X5MER2Z60EL1,1459376361517,English,3,tall,US male,Q,short,individual,48,96,68,63,7,15113,10,0,
A28PZF7KB8FL7Z:379J5II41POIRWCM70X5MER2Z60EL1,1459376383004,English,4,long,movie,Q and not-Q,short and not short,individual,50,240,132,88,5,21484,10,0,
A28PZF7KB8FL7Z:379J5II41POIRWCM70X5MER2Z60EL1,1459376399392,English,5,full,band,neither P nor not-P,neither full nor not full,stage,0,1200,261,321,4,16385,10,0,
A28PZF7KB8FL7Z:379J5II41POIRWCM70X5MER2Z60EL1,1459376428483,English,6,hot,bath,not-Q,not cold,stage,32,212,77,75,6,29087,10,0,
AU849EHZNGV2Z:31Q0U3WYDQNKSAT8RI1GWPQ7FBG17H,1459351548980,English,1,hot,bath,not-Q,not cold,stage,32,212,79,106,3,20728,9,2,This was quite enjoyable. 
AU849EHZNGV2Z:31Q0U3WYDQNKSAT8RI1GWPQ7FBG17H,1459351572124,English,2,tall,US male,Q and not-Q,short and not short,individual,48,96,94,66,2,23142,9,2,This was quite enjoyable. 
AU849EHZNGV2Z:31Q0U3WYDQNKSAT8RI1GWPQ7FBG17H,1459351599020,English,3,expensive,laptop,neither P nor not-P,neither expensive nor not expensive,individual,50,4000,3213,497,3,26895,9,2,This was quite enjoyable. 
AU849EHZNGV2Z:31Q0U3WYDQNKSAT8RI1GWPQ7FBG17H,1459351617668,English,4,fast,car,P,fast,stage,0,120,11,80,5,18647,9,2,This was quite enjoyable. 
AU849EHZNGV2Z:31Q0U3WYDQNKSAT8RI1GWPQ7FBG17H,1459351634268,English,5,long,movie,neither P nor Q,neither long nor short,individual,50,240,90,85,6,16598,9,2,This was quite enjoyable. 
AU849EHZNGV2Z:31Q0U3WYDQNKSAT8RI1GWPQ7FBG17H,1459351659431,English,6,full,band,Q,empty,stage,0,1200,1196,36,6,25162,9,2,This was quite enjoyable. 
A2ABSQBRUAUS4C:3IQ1VMJRYUSK0HU12YSTLMAGEVA9AP,1459349910414,english,1,fast,car,P and not-P,fast and not fast,stage,0,120,46,34,1,19507,5,3,
A2ABSQBRUAUS4C:3IQ1VMJRYUSK0HU12YSTLMAGEVA9AP,1459349931134,english,2,tall,US male,neither Q nor not-Q,neither short nor not short,individual,48,96,84,67,1,20712,5,3,
A2ABSQBRUAUS4C:3IQ1VMJRYUSK0HU12YSTLMAGEVA9AP,1459349950286,english,3,full,band,Q,empty,stage,0,1200,413,85,5,19144,5,3,
A2ABSQBRUAUS4C:3IQ1VMJRYUSK0HU12YSTLMAGEVA9AP,1459349964575,english,4,hot,bath,P,hot,stage,32,212,198,112,7,14285,5,3,
A2ABSQBRUAUS4C:3IQ1VMJRYUSK0HU12YSTLMAGEVA9AP,1459349985806,english,5,expensive,laptop,not-P ,not expensive,individual,50,4000,947,236,7,21227,5,3,
A2ABSQBRUAUS4C:3IQ1VMJRYUSK0HU12YSTLMAGEVA9AP,1459350014838,english,6,long,movie,neither P nor not-P,neither long nor not long,individual,50,240,140,111,2,29027,5,3,
A2AK649KPZ2IZN:3TVSS0C0E280R96I19T2UB8J0LEWTL,1459346106116,English,1,long,movie,P,long,individual,50,240,150,169,7,14469,7,2,
A2AK649KPZ2IZN:3TVSS0C0E280R96I19T2UB8J0LEWTL,1459346117145,English,2,expensive,laptop,not-P ,not expensive,individual,50,4000,2442,482,6,11023,7,2,
A2AK649KPZ2IZN:3TVSS0C0E280R96I19T2UB8J0LEWTL,1459346126458,English,3,tall,US male,neither Q nor not-Q,neither short nor not short,individual,48,96,68,69,5,9307,7,2,
A2AK649KPZ2IZN:3TVSS0C0E280R96I19T2UB8J0LEWTL,1459346141407,English,4,full,band,neither P nor not-P,neither full nor not full,stage,0,1200,308,845,2,14943,7,2,
A2AK649KPZ2IZN:3TVSS0C0E280R96I19T2UB8J0LEWTL,1459346150810,English,5,hot,bath,not-Q,not cold,stage,32,212,122,118,5,9398,7,2,
A2AK649KPZ2IZN:3TVSS0C0E280R96I19T2UB8J0LEWTL,1459346158867,English,6,fast,car,Q,slow,stage,0,120,56,31,6,8050,7,2,
A3S6F0CJF5HEVX:3SKRO2GZ72Z8NP0SACQP0UVTLXWK1Q,1459380813402,English,1,full,band,Q and not-Q,empty and not empty,stage,0,1200,282,200,2,29145,10,0,
A3S6F0CJF5HEVX:3SKRO2GZ72Z8NP0SACQP0UVTLXWK1Q,1459380834113,English,2,hot,bath,neither P nor not-P,neither hot nor not hot,stage,32,212,200,90,6,20710,10,0,
A3S6F0CJF5HEVX:3SKRO2GZ72Z8NP0SACQP0UVTLXWK1Q,1459380850238,English,3,fast,car,Q,slow,stage,0,120,40,15,7,16124,10,0,
A3S6F0CJF5HEVX:3SKRO2GZ72Z8NP0SACQP0UVTLXWK1Q,1459380871576,English,4,expensive,laptop,P,expensive,individual,50,4000,3584,2507,7,21337,10,0,
A3S6F0CJF5HEVX:3SKRO2GZ72Z8NP0SACQP0UVTLXWK1Q,1459380887187,English,5,tall,US male,neither P nor Q,neither tall nor short,individual,48,96,57,70,3,15609,10,0,
A3S6F0CJF5HEVX:3SKRO2GZ72Z8NP0SACQP0UVTLXWK1Q,1459380896937,English,6,long,movie,not-P ,not long,individual,50,240,63,90,6,9749,10,0,
AFJBQWD8JSC38:3Q5C1WP23N9556FP3PMJY5CBO7051P,1459379625103,English,1,hot,bath,Q,cold,stage,32,212,98,60,3,27726,5,1,Interesting study on our perceptions.... thank you!
AFJBQWD8JSC38:3Q5C1WP23N9556FP3PMJY5CBO7051P,1459379646790,English,2,expensive,laptop,neither P nor not-P,neither expensive nor not expensive,individual,50,4000,884,308,1,21684,5,1,Interesting study on our perceptions.... thank you!
AFJBQWD8JSC38:3Q5C1WP23N9556FP3PMJY5CBO7051P,1459379678871,English,3,full,band,neither P nor Q,neither full nor empty,stage,0,1200,224,600,1,32081,5,1,Interesting study on our perceptions.... thank you!
AFJBQWD8JSC38:3Q5C1WP23N9556FP3PMJY5CBO7051P,1459379690882,English,4,tall,US male,Q and not-Q,short and not short,individual,48,96,65,66,1,12010,5,1,Interesting study on our perceptions.... thank you!
AFJBQWD8JSC38:3Q5C1WP23N9556FP3PMJY5CBO7051P,1459379701309,English,5,fast,car,not-P ,not fast,stage,0,120,118,40,1,10426,5,1,Interesting study on our perceptions.... thank you!
AFJBQWD8JSC38:3Q5C1WP23N9556FP3PMJY5CBO7051P,1459379719716,English,6,long,movie,not-Q,not short,individual,50,240,107,120,1,18406,5,1,Interesting study on our perceptions.... thank you!
A2YFPO0N4GIS25:3PMBY0YE28B8TWRZMCOKRH04EYUC9T,1459348630648,English,1,fast,car,Q and not-Q,slow and not slow,stage,0,120,76,25,3,14659,9,2,Thank you.
A2YFPO0N4GIS25:3PMBY0YE28B8TWRZMCOKRH04EYUC9T,1459348643773,English,2,tall,US male,neither Q nor not-Q,neither short nor not short,individual,48,96,51,68,5,13123,9,2,Thank you.
A2YFPO0N4GIS25:3PMBY0YE28B8TWRZMCOKRH04EYUC9T,1459348652066,English,3,hot,bath,not-P ,not hot,stage,32,212,141,90,7,8291,9,2,Thank you.
A2YFPO0N4GIS25:3PMBY0YE28B8TWRZMCOKRH04EYUC9T,1459348670956,English,4,full,band,neither P nor Q,neither full nor empty,stage,0,1200,1013,800,6,18889,9,2,Thank you.
A2YFPO0N4GIS25:3PMBY0YE28B8TWRZMCOKRH04EYUC9T,1459348685142,English,5,expensive,laptop,not-Q,not cheap,individual,50,4000,3990,2604,7,14184,9,2,Thank you.
A2YFPO0N4GIS25:3PMBY0YE28B8TWRZMCOKRH04EYUC9T,1459348696174,English,6,long,movie,P,long,individual,50,240,54,181,7,11030,9,2,Thank you.
A1P1LMZT6X7OIY:3MX2NQ3YCA2DV70IAI7QTEGCTMG5XI,1459380216996,English,1,tall,US male,Q,short,individual,48,96,68,65,2,33087,10,6,
A1P1LMZT6X7OIY:3MX2NQ3YCA2DV70IAI7QTEGCTMG5XI,1459380251097,English,2,expensive,laptop,neither P nor Q,neither expensive nor cheap,individual,50,4000,3972,806,7,34099,10,6,
A1P1LMZT6X7OIY:3MX2NQ3YCA2DV70IAI7QTEGCTMG5XI,1459380281848,English,3,fast,car,P,fast,stage,0,120,31,78,3,30749,10,6,
A1P1LMZT6X7OIY:3MX2NQ3YCA2DV70IAI7QTEGCTMG5XI,1459380311720,English,4,long,movie,Q and not-Q,short and not short,individual,50,240,150,105,1,29869,10,6,
A1P1LMZT6X7OIY:3MX2NQ3YCA2DV70IAI7QTEGCTMG5XI,1459380333095,English,5,full,band,not-Q,not empty,stage,0,1200,271,426,1,21374,10,6,
A1P1LMZT6X7OIY:3MX2NQ3YCA2DV70IAI7QTEGCTMG5XI,1459380354055,English,6,hot,bath,neither P nor not-P,neither hot nor not hot,stage,32,212,47,82,1,20957,10,6,
A24RTVFQXN525E:36V4Q8R5ZL8RUHKCG3TKG8V5IEKQMX,1459383957551,english,1,full,band,neither P nor not-P,neither full nor not full,stage,0,1200,125,600,1,41206,3,0,
A24RTVFQXN525E:36V4Q8R5ZL8RUHKCG3TKG8V5IEKQMX,1459383977979,english,2,hot,bath,P,hot,stage,32,212,149,98,1,20425,3,0,
A24RTVFQXN525E:36V4Q8R5ZL8RUHKCG3TKG8V5IEKQMX,1459384008956,english,3,expensive,laptop,not-Q,not cheap,individual,50,4000,1846,1395,7,30975,3,0,
A24RTVFQXN525E:36V4Q8R5ZL8RUHKCG3TKG8V5IEKQMX,1459384030025,english,4,tall,US male,neither P nor Q,neither tall nor short,individual,48,96,94,70,7,21067,3,0,
A24RTVFQXN525E:36V4Q8R5ZL8RUHKCG3TKG8V5IEKQMX,1459384055033,english,5,long,movie,P and not-P,long and not long,individual,50,240,223,102,7,25005,3,0,
A24RTVFQXN525E:36V4Q8R5ZL8RUHKCG3TKG8V5IEKQMX,1459384067913,english,6,fast,car,Q,slow,stage,0,120,85,20,7,12879,3,0,
A3HBMPB74FWI1:32KTQ2V7RENL2I3QZ1IYUD5G8CY9M8,1459348723768,English,1,fast,car,P,fast,stage,0,120,99,94,6,2480,5,6,
A3HBMPB74FWI1:32KTQ2V7RENL2I3QZ1IYUD5G8CY9M8,1459348725871,English,2,full,band,neither Q nor not-Q,neither empty nor not empty,stage,0,1200,170,503,6,2098,5,6,
A3HBMPB74FWI1:32KTQ2V7RENL2I3QZ1IYUD5G8CY9M8,1459348727617,English,3,long,movie,neither P nor not-P,neither long nor not long,individual,50,240,200,177,5,1745,5,6,
A3HBMPB74FWI1:32KTQ2V7RENL2I3QZ1IYUD5G8CY9M8,1459348729640,English,4,hot,bath,P and not-P,hot and not hot,stage,32,212,54,191,6,2021,5,6,
A3HBMPB74FWI1:32KTQ2V7RENL2I3QZ1IYUD5G8CY9M8,1459348733677,English,5,expensive,laptop,not-Q,not cheap,individual,50,4000,3459,2081,6,4036,5,6,
A3HBMPB74FWI1:32KTQ2V7RENL2I3QZ1IYUD5G8CY9M8,1459348738007,English,6,tall,US male,neither P nor Q,neither tall nor short,individual,48,96,95,62,4,4329,5,6,
A1F48KQEBOLPUW:3WS1NTTKEZKX0ENWDIVS6CKE87T0FH,1459349016886,english,1,fast,car,Q and not-Q,slow and not slow,stage,0,120,37,17,1,16222,10,2,
A1F48KQEBOLPUW:3WS1NTTKEZKX0ENWDIVS6CKE87T0FH,1459349028066,english,2,full,band,P,full,stage,0,1200,504,1200,7,11178,10,2,
A1F48KQEBOLPUW:3WS1NTTKEZKX0ENWDIVS6CKE87T0FH,1459349041451,english,3,expensive,laptop,not-P ,not expensive,individual,50,4000,1109,298,7,13385,10,2,
A1F48KQEBOLPUW:3WS1NTTKEZKX0ENWDIVS6CKE87T0FH,1459349059596,english,4,hot,bath,neither Q nor not-Q,neither cold nor not cold,stage,32,212,129,74,2,18144,10,2,
A1F48KQEBOLPUW:3WS1NTTKEZKX0ENWDIVS6CKE87T0FH,1459349075313,english,5,tall,US male,not-Q,not short,individual,48,96,84,72,7,15716,10,2,
A1F48KQEBOLPUW:3WS1NTTKEZKX0ENWDIVS6CKE87T0FH,1459349090213,english,6,long,movie,neither P nor not-P,neither long nor not long,individual,50,240,94,110,1,14899,10,2,
A321AGEY23DDEH:31HQ4X3T3TIJ1FH48VHABVVH0VXSL0,1459348680453,English,1,tall,US male,neither Q nor not-Q,neither short nor not short,individual,48,96,57,68,6,11735,8,1,
A321AGEY23DDEH:31HQ4X3T3TIJ1FH48VHABVVH0VXSL0,1459348687923,English,2,long,movie,not-Q,not short,individual,50,240,60,180,7,7467,8,1,
A321AGEY23DDEH:31HQ4X3T3TIJ1FH48VHABVVH0VXSL0,1459348696731,English,3,fast,car,not-P ,not fast,stage,0,120,29,40,7,8805,8,1,
A321AGEY23DDEH:31HQ4X3T3TIJ1FH48VHABVVH0VXSL0,1459348709089,English,4,full,band,P and not-P,full and not full,stage,0,1200,602,956,4,12356,8,1,
A321AGEY23DDEH:31HQ4X3T3TIJ1FH48VHABVVH0VXSL0,1459348721912,English,5,hot,bath,neither P nor Q,neither hot nor cold,stage,32,212,81,104,7,12821,8,1,
A321AGEY23DDEH:31HQ4X3T3TIJ1FH48VHABVVH0VXSL0,1459348732786,English,6,expensive,laptop,Q,cheap,individual,50,4000,1880,238,7,10872,8,1,
A2QX2B50DM45E2:3W92K5RLWVPLRIVNA3685TJRD9RV5K,1459348687713,English,1,tall,US male,not-Q,not short,individual,48,96,71,78,6,13249,5,5,
A2QX2B50DM45E2:3W92K5RLWVPLRIVNA3685TJRD9RV5K,1459348698070,English,2,long,movie,Q,short,individual,50,240,81,118,7,10356,5,5,
A2QX2B50DM45E2:3W92K5RLWVPLRIVNA3685TJRD9RV5K,1459348710424,English,3,full,band,not-P ,not full,stage,0,1200,266,627,5,12354,5,5,
A2QX2B50DM45E2:3W92K5RLWVPLRIVNA3685TJRD9RV5K,1459348719577,English,4,fast,car,P and not-P,fast and not fast,stage,0,120,64,58,2,9151,5,5,
A2QX2B50DM45E2:3W92K5RLWVPLRIVNA3685TJRD9RV5K,1459348729790,English,5,hot,bath,neither P nor not-P,neither hot nor not hot,stage,32,212,127,125,1,10213,5,5,
A2QX2B50DM45E2:3W92K5RLWVPLRIVNA3685TJRD9RV5K,1459348746826,English,6,expensive,laptop,neither P nor Q,neither expensive nor cheap,individual,50,4000,1361,2030,2,17035,5,5,
A29RJVVL54THB5:3L6L49WXW15MX5C8Q75LW3JE0R554X,1459370861798,English,1,fast,car,Q,slow,stage,0,120,46,18,7,12931,10,0,Interesting study
A29RJVVL54THB5:3L6L49WXW15MX5C8Q75LW3JE0R554X,1459370875538,English,2,expensive,laptop,neither Q nor not-Q,neither cheap nor not cheap,individual,50,4000,3598,590,6,13737,10,0,Interesting study
A29RJVVL54THB5:3L6L49WXW15MX5C8Q75LW3JE0R554X,1459370884703,English,3,hot,bath,neither P nor Q,neither hot nor cold,stage,32,212,45,57,6,9162,10,0,Interesting study
A29RJVVL54THB5:3L6L49WXW15MX5C8Q75LW3JE0R554X,1459370894370,English,4,long,movie,neither P nor not-P,neither long nor not long,individual,50,240,178,138,6,9664,10,0,Interesting study
A29RJVVL54THB5:3L6L49WXW15MX5C8Q75LW3JE0R554X,1459370901748,English,5,tall,US male,not-P ,not tall,individual,48,96,77,62,7,7376,10,0,Interesting study
A29RJVVL54THB5:3L6L49WXW15MX5C8Q75LW3JE0R554X,1459370912395,English,6,full,band,P,full,stage,0,1200,1180,1119,6,10642,10,0,Interesting study
A3VP27UUQ34OXK:3SITXWYCNWHFKNHRBSY3W0G43IVXB4,1459371317713,English,1,fast,car,Q,slow,stage,0,120,74,25,6,19470,5,5,no
A3VP27UUQ34OXK:3SITXWYCNWHFKNHRBSY3W0G43IVXB4,1459371334664,English,2,expensive,laptop,Q and not-Q,cheap and not cheap,individual,50,4000,3979,302,2,16945,5,5,no
A3VP27UUQ34OXK:3SITXWYCNWHFKNHRBSY3W0G43IVXB4,1459371349166,English,3,long,movie,not-P ,not long,individual,50,240,79,80,7,14498,5,5,no
A3VP27UUQ34OXK:3SITXWYCNWHFKNHRBSY3W0G43IVXB4,1459371367654,English,4,full,band,neither P nor Q,neither full nor empty,stage,0,1200,848,74,4,18484,5,5,no
A3VP27UUQ34OXK:3SITXWYCNWHFKNHRBSY3W0G43IVXB4,1459371386456,English,5,hot,bath,P and not-P,hot and not hot,stage,32,212,119,70,1,18798,5,5,no
A3VP27UUQ34OXK:3SITXWYCNWHFKNHRBSY3W0G43IVXB4,1459371397399,English,6,tall,US male,not-Q,not short,individual,48,96,77,72,7,10934,5,5,no
AU6ZURVHX4KPT:31EUONYN2WB7ZS15FI27EZJIU4XOVJ,1459351230379,English,1,tall,US male,Q and not-Q,short and not short,individual,48,96,50,69,5,12747,4,5,no
AU6ZURVHX4KPT:31EUONYN2WB7ZS15FI27EZJIU4XOVJ,1459351248954,English,2,expensive,laptop,neither Q nor not-Q,neither cheap nor not cheap,individual,50,4000,2397,386,1,18567,4,5,no
AU6ZURVHX4KPT:31EUONYN2WB7ZS15FI27EZJIU4XOVJ,1459351264801,English,3,full,band,Q,empty,stage,0,1200,924,285,7,15843,4,5,no
AU6ZURVHX4KPT:31EUONYN2WB7ZS15FI27EZJIU4XOVJ,1459351280346,English,4,fast,car,not-Q,not slow,stage,0,120,37,52,3,15542,4,5,no
AU6ZURVHX4KPT:31EUONYN2WB7ZS15FI27EZJIU4XOVJ,1459351291521,English,5,long,movie,not-P ,not long,individual,50,240,72,76,6,11172,4,5,no
AU6ZURVHX4KPT:31EUONYN2WB7ZS15FI27EZJIU4XOVJ,1459351310026,English,6,hot,bath,P and not-P,hot and not hot,stage,32,212,178,101,3,18502,4,5,no
A4M2EA2J10E7K:3URFVVM166QJLHQCC13JYBO3031UZG,1459372447522,English,1,fast,car,not-Q,not slow,stage,0,120,85,70,4,26362,9,4,-
A4M2EA2J10E7K:3URFVVM166QJLHQCC13JYBO3031UZG,1459372468154,English,2,expensive,laptop,not-P ,not expensive,individual,50,4000,1707,252,7,20630,9,4,-
A4M2EA2J10E7K:3URFVVM166QJLHQCC13JYBO3031UZG,1459372495694,English,3,full,band,neither P nor Q,neither full nor empty,stage,0,1200,464,604,5,27539,9,4,-
A4M2EA2J10E7K:3URFVVM166QJLHQCC13JYBO3031UZG,1459372532639,English,4,long,movie,neither Q nor not-Q,neither short nor not short,individual,50,240,224,111,2,36945,9,4,-
A4M2EA2J10E7K:3URFVVM166QJLHQCC13JYBO3031UZG,1459372554689,English,5,tall,US male,Q and not-Q,short and not short,individual,48,96,53,67,1,22049,9,4,-
A4M2EA2J10E7K:3URFVVM166QJLHQCC13JYBO3031UZG,1459372581385,English,6,hot,bath,neither P nor not-P,neither hot nor not hot,stage,32,212,70,99,1,26696,9,4,-
A1WDUICI1FG9F:3483FV8BEFR8DVXZRCW2VU0GC8K26E,1459370760845,English,1,full,band,P,full,stage,0,1200,1060,1200,7,10452,7,3,
A1WDUICI1FG9F:3483FV8BEFR8DVXZRCW2VU0GC8K26E,1459370772307,English,2,hot,bath,neither P nor not-P,neither hot nor not hot,stage,32,212,164,85,7,11458,7,3,
A1WDUICI1FG9F:3483FV8BEFR8DVXZRCW2VU0GC8K26E,1459370780930,English,3,tall,US male,neither P nor Q,neither tall nor short,individual,48,96,49,68,7,8621,7,3,
A1WDUICI1FG9F:3483FV8BEFR8DVXZRCW2VU0GC8K26E,1459370787106,English,4,fast,car,not-P ,not fast,stage,0,120,18,55,7,6174,7,3,
A1WDUICI1FG9F:3483FV8BEFR8DVXZRCW2VU0GC8K26E,1459370796170,English,5,expensive,laptop,Q,cheap,individual,50,4000,2610,400,7,9061,7,3,
A1WDUICI1FG9F:3483FV8BEFR8DVXZRCW2VU0GC8K26E,1459370802050,English,6,long,movie,not-Q,not short,individual,50,240,71,130,6,5879,7,3,
A2VDCUHGOZTL8R:3IX2EGZR7CR15ATRQL5S56DTA48JR0,1459347902253,english,1,long,movie,neither P nor not-P,neither long nor not long,individual,50,240,205,130,7,23587,6,7,
A2VDCUHGOZTL8R:3IX2EGZR7CR15ATRQL5S56DTA48JR0,1459347914244,english,2,tall,US male,Q and not-Q,short and not short,individual,48,96,93,70,7,11977,6,7,
A2VDCUHGOZTL8R:3IX2EGZR7CR15ATRQL5S56DTA48JR0,1459347928142,english,3,full,band,P and not-P,full and not full,stage,0,1200,1175,907,7,13891,6,7,
A2VDCUHGOZTL8R:3IX2EGZR7CR15ATRQL5S56DTA48JR0,1459347939581,english,4,fast,car,neither P nor Q,neither fast nor slow,stage,0,120,82,40,7,11430,6,7,
A2VDCUHGOZTL8R:3IX2EGZR7CR15ATRQL5S56DTA48JR0,1459347954680,english,5,expensive,laptop,not-Q,not cheap,individual,50,4000,3850,1131,7,15088,6,7,
A2VDCUHGOZTL8R:3IX2EGZR7CR15ATRQL5S56DTA48JR0,1459347971346,english,6,hot,bath,Q,cold,stage,32,212,120,70,6,16647,6,7,
A3UV55HC87DO9C:3V0Z7YWSIZ8TSLC0SK4A7MGFT1AV2X,1459371425244,English,1,expensive,laptop,neither P nor not-P,neither expensive nor not expensive,individual,50,4000,1203,755,2,22076,10,0,
A3UV55HC87DO9C:3V0Z7YWSIZ8TSLC0SK4A7MGFT1AV2X,1459371437934,English,2,long,movie,not-P ,not long,individual,50,240,185,130,6,12688,10,0,
A3UV55HC87DO9C:3V0Z7YWSIZ8TSLC0SK4A7MGFT1AV2X,1459371453344,English,3,fast,car,neither Q nor not-Q,neither slow nor not slow,stage,0,120,82,55,3,15409,10,0,
A3UV55HC87DO9C:3V0Z7YWSIZ8TSLC0SK4A7MGFT1AV2X,1459371466687,English,4,hot,bath,Q and not-Q,cold and not cold,stage,32,212,108,64,2,13342,10,0,
A3UV55HC87DO9C:3V0Z7YWSIZ8TSLC0SK4A7MGFT1AV2X,1459371480656,English,5,full,band,P,full,stage,0,1200,2,201,6,13967,10,0,
